objectid,basic_colour,body_type,cc_rating,import_status,make,model,fuel_type,reg_year,reg_month,vehicle_year,gross_vehicle_mass,number_of_seats,number_of_axles,vehicle_type,vehicle_usage,nz_assembled,original_country,tla,postcode,transmission_type,power_rating,vdam_weight,fc_combined,fc_urban,fc_extra_urban,synthetic_greenhouse_gas,vin11,flag_invalid_reg_year,flag_invalid_vehicle_year,flag_suspect_cc,flag_suspect_gvm,flag_high_fuel_consumption,fleet_age,reg_lag,is_ev,is_hybrid,is_zero_emission,efficiency_tier,gvm_class,age_band,region,nz_new,domestic,has_fuel_data,anomaly_iforest,anomaly_iforest_score,anomaly_lof,rule_extreme_age,rule_huge_reg_lag,rule_ev_high_cc,rule_high_seats_car,rule_negative_lag,rule_fuel_extreme,fc_peer_zscore,anomaly_fc_peer,anomaly_composite
5841604,BLACK,OTHER TRUCK,8267,USED,KENWORTH,CG522C,DIESEL,2025,1,1954,19500,2,3,GOODS VAN/TRUCK/UTILITY,TRANSPORT LICENSED GOODS,IMPORTED BUILT-UP,UNITED STATES,QUEENSTOWN-LAKES DISTRICT,9305,,0,21000,0.0,0.0,0.0,,7AT0A01GX22,0,0,0,0,0,71,50,0,0,0,N/A,HEAVY,PRE-2000,Otago,0,0,0,1,0.18409986456221006,0,0,1,0,0,0,0,,0,1
659146,PURPLE,OTHER TRUCK,16750,USED,MITSUBISHI,FUSO,DIESEL,2025,10,1993,21530,2,4,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,IMPORTED BUILT-UP,JAPAN,HASTINGS DISTRICT,4172,,0,25300,0.0,0.0,0.0,,7A8CJ1D0803,0,0,0,0,0,32,32,0,0,0,N/A,HEAVY,PRE-2000,Hawke's Bay,0,0,0,1,0.16648750596262563,0,0,1,0,0,0,0,,0,1
4944872,BLACK,ARTICULATED TRUCK,15000,USED,WESTERN STAR,4964F,DIESEL,2026,2,1995,24000,2,3,GOODS VAN/TRUCK/UTILITY,TRANSPORT LICENSED GOODS,IMPORTED BUILT-UP,AUSTRALIA,MATAMATA-PIAKO DISTRICT,3400,,0,22200,0.0,0.0,0.0,,2WLPDCCH4SK,0,0,0,0,0,30,31,0,0,0,N/A,HEAVY,PRE-2000,Waikato,0,0,0,1,0.1632451235939818,0,0,1,0,0,0,0,,0,1
1245985,WHITE,STATION WAGON,6390,USED,FORD,GALAXIE,PETROL,2026,3,1967,0,10,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,NEW PLYMOUTH DISTRICT,4312,,0,0,0.0,0.0,0.0,,7AT06G0WX25,0,0,0,0,0,58,50,0,0,0,N/A,UNKNOWN,PRE-2000,Taranaki,0,0,0,1,0.15992738495842362,0,0,1,0,1,0,0,,0,1
3293930,ORANGE,MOBILE MACHINE,11970,USED,MOBILE MACHINE,DEMAD CC1400,DIESEL,2025,10,1997,46000,0,0,MOBILE MACHINE,OTHER,NZ ASSEMBLED/BUILT,GERMANY,TAURANGA CITY,0,,0,0,0.0,0.0,0.0,,,0,0,0,0,0,28,28,0,0,0,N/A,EXTRA-HEAVY,PRE-2000,Bay of Plenty,0,0,0,1,0.1582703575379012,0,0,1,0,0,0,0,,0,1
2427073,GREEN,OTHER TRUCK,4100,USED,FACTORY BUILT,GMC,PETROL,2025,6,1944,7915,3,3,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,UNKNOWN,UNITED STATES,LOWER HUTT CITY,5019,,0,20500,0.0,0.0,0.0,NOT ON LIST,7AT05P00X25,0,0,0,0,0,81,50,0,0,0,N/A,MEDIUM,PRE-2000,Wellington,0,0,0,1,0.1552126186635332,0,1,1,0,0,0,0,,0,1
5447419,GREY,SALOON,7669,USED,CHEVROLET,IMPALA,PETROL,2025,10,1964,0,6,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,AUCKLAND,602,,0,0,0.0,0.0,0.0,,7AT02R1RX15,0,0,0,0,0,61,50,0,0,0,N/A,UNKNOWN,PRE-2000,Auckland,0,0,0,1,0.154145443572008,0,0,1,0,0,0,0,,0,1
4134883,RED,SALOON,6390,USED,FORD,COUPE,PETROL,2025,2,1932,0,2,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,TAUPO DISTRICT,3385,,0,0,0.0,0.0,0.0,,7AT06G40X16,0,0,0,0,0,93,50,0,0,0,N/A,UNKNOWN,PRE-2000,Waikato,0,0,0,1,0.15367836787343292,0,1,1,0,0,0,0,,0,1
5428815,BLUE,CONVERTIBLE,7768,USED,ROLLS-ROYCE,PHANTOM,PETROL,2025,12,1928,0,4,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED KINGDOM,QUEENSTOWN-LAKES DISTRICT,9382,,0,0,0.0,0.0,0.0,,7AT0WR03X25,0,0,0,0,0,97,50,0,0,0,N/A,UNKNOWN,PRE-2000,Otago,0,0,0,1,0.15365844775254667,0,1,1,0,0,0,0,,0,1
1084831,SILVER,CONVERTIBLE,7668,USED,ROLLS-ROYCE,PHANTOM II,PETROL,2025,11,1934,0,4,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED KINGDOM,QUEENSTOWN-LAKES DISTRICT,9372,,0,0,0.0,0.0,0.0,,7AT0WR0DX17,0,0,0,0,0,91,50,0,0,0,N/A,UNKNOWN,PRE-2000,Otago,0,0,0,1,0.15365844775254667,0,1,1,0,0,0,0,,0,1
5061453,GREEN,CONVERTIBLE,8000,USED,BENTLEY,SPEED SIX,PETROL,2025,6,1929,0,4,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED KINGDOM,DUNEDIN CITY,9010,,0,0,0.0,0.0,0.0,,7AT01A11X25,0,0,0,0,0,96,50,0,0,0,N/A,UNKNOWN,PRE-2000,Otago,0,0,0,1,0.15365844775254667,0,1,1,0,0,0,0,,0,1
3722080,ORANGE,MOBILE MACHINE,14000,USED,FACTORY BUILT,KATO,DIESEL,2025,1,2003,34400,1,4,SPECIAL PURPOSE VEHICLE,OTHER,IMPORTED BUILT-UP,JAPAN,WHAKATANE DISTRICT,0,,0,26000,0.0,0.0,0.0,UNKNOWN,JNB0KG45S00,0,0,0,0,0,22,22,0,0,0,N/A,EXTRA-HEAVY,2000-2009,Bay of Plenty,0,0,0,1,0.15361818220072887,0,0,1,0,0,0,0,,0,1
4362706,YELLOW,STATION WAGON,5115,USED,FORD,COUNTRY,PETROL,2026,1,1957,0,8,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,TASMAN DISTRICT,7020,,0,0,0.0,0.0,0.0,,7AT06G29X26,0,0,0,0,0,68,50,0,0,0,N/A,UNKNOWN,PRE-2000,Nelson-Tasman,0,0,0,1,0.15304301468164194,0,0,1,0,0,0,0,,0,1
3317626,BLUE,SALOON,5957,USED,BUICK,SPECIAL,PETROL,2025,7,1957,0,6,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,CENTRAL HAWKE'S BAY DISTRICT,4202,,0,0,0.0,0.0,0.0,,7AT02006X16,0,0,0,0,0,68,50,0,0,0,N/A,UNKNOWN,PRE-2000,Hawke's Bay,0,0,0,1,0.15294680599393207,0,0,1,0,0,0,0,,0,1
5801859,BLUE,SALOON,5735,USED,CHEVROLET,COUPE,PETROL,2025,1,1953,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,WHANGAREI DISTRICT,179,,0,0,0.0,0.0,0.0,,7AT02R1EX24,0,0,0,0,0,72,50,0,0,0,N/A,UNKNOWN,PRE-2000,Northland,0,0,0,1,0.15294680599393207,0,0,1,0,0,0,0,,0,1
4730623,BLACK,STATION WAGON,7440,USED,CHEVROLET,VAN,PETROL,2025,9,1947,0,4,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,WESTERN BAY OF PLENTY DISTRICT,3170,,0,0,0.0,0.0,0.0,,7AT02R1PX24,0,0,0,0,0,78,50,0,0,0,N/A,UNKNOWN,PRE-2000,Bay of Plenty,0,0,0,1,0.15289424332561663,0,0,1,0,0,0,0,,0,1
176458,GREEN,STATION WAGON,6276,USED,CHEVROLET,210,PETROL,2025,5,1957,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,AUCKLAND,616,,0,0,0.0,0.0,0.0,,7AT02R34X24,0,0,0,0,0,68,50,0,0,0,N/A,UNKNOWN,PRE-2000,Auckland,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
2615079,ORANGE,SALOON,5732,USED,CHEVROLET,BELAIR,PETROL,2025,3,1956,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,WESTERN BAY OF PLENTY DISTRICT,3170,,0,0,0.0,0.0,0.0,,7AT02R0GX25,0,0,0,0,0,69,50,0,0,0,N/A,UNKNOWN,PRE-2000,Bay of Plenty,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
2725308,YELLOW,SALOON,5735,USED,CHEVROLET,BELAIR,PETROL,2025,9,1955,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,AUCKLAND,892,,0,0,0.0,0.0,0.0,,7AT02R0GX25,0,0,0,0,0,70,50,0,0,0,N/A,UNKNOWN,PRE-2000,Auckland,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
5269708,GREEN,SALOON,5735,USED,CHEVROLET,BELAIR,PETROL,2026,3,1957,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,AUCKLAND,882,,0,0,0.0,0.0,0.0,,7AT02R0GX22,0,0,0,0,0,68,50,0,0,0,N/A,UNKNOWN,PRE-2000,Auckland,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
1011020,PINK,CONVERTIBLE,5736,USED,CHEVROLET,BELAIR,PETROL,2025,7,1956,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,DUNEDIN CITY,9018,,0,0,0.0,0.0,0.0,,7AT02R0GX25,0,0,0,0,0,69,50,0,0,0,N/A,UNKNOWN,PRE-2000,Otago,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
1990254,BLACK,SALOON,5735,USED,CHEVROLET,BELAIR,PETROL,2025,1,1956,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,ASHBURTON DISTRICT,7773,,0,0,0.0,0.0,0.0,,7AT02R0GX23,0,0,0,0,0,69,50,0,0,0,N/A,UNKNOWN,PRE-2000,Other/Unknown,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
204872,YELLOW,STATION WAGON,6035,USED,MERCURY,VOYAGER,PETROL,2025,3,1957,0,6,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,DUNEDIN CITY,9085,,0,0,0.0,0.0,0.0,,7AT0C70TX25,0,0,0,0,0,68,50,0,0,0,N/A,UNKNOWN,PRE-2000,Otago,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
1149281,RED,SALOON,6080,USED,OLDSMOBILE,88,PETROL,2026,2,1957,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,CENTRAL OTAGO DISTRICT,9384,,0,0,0.0,0.0,0.0,,7AT0DR02X25,0,0,0,0,0,68,50,0,0,0,N/A,UNKNOWN,PRE-2000,Otago,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
5105038,ORANGE,STATION WAGON,5735,USED,CHEVROLET,BELAIR,PETROL,2025,12,1957,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,WHAKATANE DISTRICT,3120,,0,0,0.0,0.0,0.0,,7AT02R0GX25,0,0,0,0,0,68,50,0,0,0,N/A,UNKNOWN,PRE-2000,Bay of Plenty,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
4778307,BROWN,SALOON,5700,USED,CHEVROLET,BELAIR,PETROL,2025,9,1956,0,6,2,PASSENGER CAR/VAN,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,LOWER HUTT CITY,5010,,0,0,0.0,0.0,0.0,,7AT02R0GX25,0,0,0,0,0,69,50,0,0,0,N/A,UNKNOWN,PRE-2000,Wellington,0,0,0,1,0.15269222570787655,0,0,1,0,0,0,0,,0,1
5490068,WHITE,UTILITY,7538,USED,FORD,F100,PETROL,2026,3,1956,2268,2,2,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,IMPORTED BUILT-UP,UNITED STATES,AUCKLAND,632,,0,0,0.0,0.0,0.0,,7AT06G14X21,0,0,0,0,0,69,50,0,0,0,N/A,LIGHT,PRE-2000,Auckland,0,0,0,1,0.1521773606694099,0,0,1,0,0,0,0,,0,1
