column,non_null,null,completeness_pct
objectid,356035,0,100.0
basic_colour,356031,4,100.0
body_type,356035,0,100.0
cc_rating,356035,0,100.0
import_status,356035,0,100.0
make,356035,0,100.0
model,356035,0,100.0
fuel_type,356035,0,100.0
reg_year,356035,0,100.0
reg_month,356035,0,100.0
vehicle_year,356035,0,100.0
gross_vehicle_mass,356035,0,100.0
number_of_seats,356035,0,100.0
number_of_axles,356035,0,100.0
vehicle_type,356035,0,100.0
vehicle_usage,356035,0,100.0
nz_assembled,356035,0,100.0
original_country,356035,0,100.0
tla,355379,656,99.82
postcode,356035,0,100.0
transmission_type,169304,186731,47.55
power_rating,356035,0,100.0
vdam_weight,356035,0,100.0
fc_combined,356035,0,100.0
fc_urban,356035,0,100.0
fc_extra_urban,356035,0,100.0
synthetic_greenhouse_gas,285916,70119,80.31
vin11,298105,57930,83.73
flag_invalid_reg_year,356035,0,100.0
flag_invalid_vehicle_year,356035,0,100.0
flag_suspect_cc,356035,0,100.0
flag_suspect_gvm,356035,0,100.0
flag_high_fuel_consumption,356035,0,100.0
fleet_age,356035,0,100.0
reg_lag,356035,0,100.0
is_ev,356035,0,100.0
is_hybrid,356035,0,100.0
is_zero_emission,356035,0,100.0
efficiency_tier,356035,0,100.0
gvm_class,356035,0,100.0
age_band,356035,0,100.0
region,356035,0,100.0
nz_new,356035,0,100.0
domestic,356035,0,100.0
has_fuel_data,356035,0,100.0
