vehicle_year,efficiency_tier,count
1990,POOR,1
1991,POOR,1
1993,POOR,1
1997,POOR,4
1998,POOR,3
1999,AVERAGE,4
1999,GOOD,1
1999,POOR,7
2000,AVERAGE,4
2000,GOOD,4
2000,POOR,10
2001,AVERAGE,1
2001,GOOD,4
2001,POOR,15
2002,AVERAGE,4
2002,GOOD,3
2002,POOR,28
2003,AVERAGE,10
2003,GOOD,5
2003,POOR,28
2004,AVERAGE,24
2004,GOOD,11
2004,POOR,40
2005,AVERAGE,4
2005,GOOD,3
2005,POOR,31
2006,AVERAGE,3
2006,GOOD,5
2006,POOR,31
2007,AVERAGE,31
2007,GOOD,6
2007,POOR,26
2008,AVERAGE,33
2008,EXCELLENT,2
2008,GOOD,6
2008,POOR,38
2009,AVERAGE,80
2009,EXCELLENT,30
2009,GOOD,17
2009,POOR,67
2010,AVERAGE,90
2010,EXCELLENT,121
2010,GOOD,30
2010,POOR,55
2011,AVERAGE,162
2011,EXCELLENT,137
2011,GOOD,76
2011,POOR,60
2012,AVERAGE,2724
2012,EXCELLENT,5835
2012,GOOD,3483
2012,POOR,705
2013,AVERAGE,2247
2013,EXCELLENT,5618
2013,GOOD,4822
2013,POOR,484
2014,AVERAGE,2342
2014,EXCELLENT,9806
2014,GOOD,7708
2014,POOR,356
2015,AVERAGE,1877
2015,EXCELLENT,5633
2015,GOOD,4288
2015,POOR,197
2016,AVERAGE,1578
2016,EXCELLENT,5133
2016,GOOD,3568
2016,POOR,172
2017,AVERAGE,1161
2017,EXCELLENT,5020
2017,GOOD,2511
2017,POOR,156
2018,AVERAGE,1009
2018,EXCELLENT,3335
2018,GOOD,1610
2018,POOR,211
2019,AVERAGE,1441
2019,EXCELLENT,3794
2019,GOOD,1556
2019,POOR,156
2020,AVERAGE,1505
2020,EXCELLENT,4863
2020,GOOD,1663
2020,POOR,245
2021,AVERAGE,574
2021,EXCELLENT,1406
2021,GOOD,352
2021,POOR,233
2022,AVERAGE,465
2022,EXCELLENT,691
2022,GOOD,185
2022,POOR,304
2023,AVERAGE,327
2023,EXCELLENT,262
2023,GOOD,195
2023,POOR,206
2024,AVERAGE,279
2024,EXCELLENT,75
2024,GOOD,203
2024,POOR,126
2025,AVERAGE,66936
2025,EXCELLENT,16167
2025,GOOD,35378
2025,POOR,6029
2026,AVERAGE,17875
2026,EXCELLENT,5493
2026,GOOD,7181
2026,POOR,1102
