reg_year,make,count
2025,TOYOTA,66422
2025,TRAILER,25992
2025,NISSAN,17386
2025,MAZDA,16599
2025,FORD,16187
2025,MITSUBISHI,15745
2025,HONDA,12533
2025,SUBARU,9539
2025,KIA,8937
2025,SUZUKI,8168
2025,BMW,5060
2025,HYUNDAI,4500
2025,MG,4186
2025,MERCEDES-BENZ,4167
2025,BYD,3800
2026,TOYOTA,15238
2026,TRAILER,6785
2026,NISSAN,5663
2026,MAZDA,4211
2026,FORD,4086
2026,MITSUBISHI,3807
2026,HONDA,3142
2026,SUBARU,2539
2026,KIA,2467
2026,SUZUKI,2134
2026,BYD,1735
2026,MG,1429
2026,HYUNDAI,1368
2026,BMW,1355
2026,GWM,1080
