region,total_vehicles,ev_count,hybrid_count,avg_fleet_age,avg_fc,new_count,ev_pct,new_pct
Auckland,141928,7725,56268,3.9,5.7,84909,5.44,59.83
Bay of Plenty,21799,589,5996,4.0,6.1,14432,2.7,66.2
Canterbury,47027,2016,13826,4.4,6.01,27667,4.29,58.83
Gisborne,2913,14,618,4.2,6.45,1825,0.48,62.65
Hawke's Bay,9726,252,2495,3.6,6.25,6782,2.59,69.73
Manawatu-Whanganui,14327,409,4329,3.6,5.98,9881,2.85,68.97
Marlborough,3095,57,610,4.4,6.54,2038,1.84,65.85
Nelson-Tasman,6843,210,1563,5.0,6.15,4088,3.07,59.74
Northland,10921,305,2428,3.9,6.34,7246,2.79,66.35
Otago,15835,563,4127,4.2,6.28,10209,3.56,64.47
Other/Unknown,3485,79,744,4.3,6.46,2266,2.27,65.02
Southland,7090,74,1304,3.6,6.64,4986,1.04,70.32
Taranaki,6549,214,1735,3.7,6.23,4381,3.27,66.9
Waikato,35063,1042,10078,3.9,6.04,22738,2.97,64.85
Wellington,27289,1699,10382,3.6,5.6,17487,6.23,64.08
West Coast,2145,25,462,4.6,6.37,1315,1.17,61.31
