vehicle_year,fuel_type,count,share_pct
2000,DIESEL,36,5.71
2000,LPG,3,0.48
2000,PETROL,59,9.37
2000,UNKNOWN,532,84.44
2001,DIESEL,41,10.35
2001,ELECTRIC,1,0.25
2001,LPG,3,0.76
2001,PETROL,73,18.43
2001,UNKNOWN,278,70.2
2002,DIESEL,27,6.91
2002,ELECTRIC,1,0.26
2002,HYBRID,1,0.26
2002,LPG,2,0.51
2002,PETROL,97,24.81
2002,UNKNOWN,263,67.26
2003,DIESEL,30,8.15
2003,LPG,2,0.54
2003,PETROL,106,28.8
2003,UNKNOWN,230,62.5
2004,DIESEL,53,10.19
2004,ELECTRIC,2,0.38
2004,HYBRID,1,0.19
2004,LPG,3,0.58
2004,PETROL,176,33.85
2004,UNKNOWN,285,54.81
2005,CNG,2,0.31
2005,DIESEL,46,7.12
2005,HYBRID,1,0.15
2005,LPG,2,0.31
2005,PETROL,123,19.04
2005,UNKNOWN,472,73.07
2006,CNG,1,0.21
2006,DIESEL,34,7.19
2006,ELECTRIC,2,0.42
2006,HYBRID,3,0.63
2006,LPG,4,0.85
2006,PETROL,94,19.87
2006,UNKNOWN,335,70.82
2007,DIESEL,51,9.64
2007,ELECTRIC,1,0.19
2007,HYBRID,6,1.13
2007,LPG,1,0.19
2007,PETROL,119,22.5
2007,UNKNOWN,351,66.35
2008,DIESEL,79,13.12
2008,ELECTRIC,1,0.17
2008,HYBRID,8,1.33
2008,LPG,1,0.17
2008,PETROL,139,23.09
2008,UNKNOWN,374,62.13
2009,DIESEL,38,6.44
2009,ELECTRIC,1,0.17
2009,HYBRID,36,6.1
2009,PETROL,229,38.81
2009,UNKNOWN,286,48.47
2010,DIESEL,46,4.28
2010,HYBRID,138,12.85
2010,LPG,2,0.19
2010,PETROL,210,19.55
2010,UNKNOWN,678,63.13
2011,DIESEL,69,7.79
2011,ELECTRIC,2,0.23
2011,HYBRID,127,14.33
2011,LPG,5,0.56
2011,PETROL,370,41.76
2011,UNKNOWN,313,35.33
2012,DIESEL,206,1.54
2012,ELECTRIC,8,0.06
2012,HYBRID,6309,47.12
2012,LPG,5,0.04
2012,PETROL,6461,48.26
2012,UNKNOWN,399,2.98
2013,DIESEL,329,2.38
2013,ELECTRIC,25,0.18
2013,HYBRID,6180,44.8
2013,LPG,5,0.04
2013,PETROL,6925,50.2
2013,UNKNOWN,332,2.41
2014,DIESEL,334,1.59
2014,ELECTRIC,115,0.55
2014,HYBRID,9089,43.22
2014,LPG,3,0.01
2014,PETROL,11054,52.57
2014,UNKNOWN,434,2.06
2015,DIESEL,417,3.17
2015,ELECTRIC,84,0.64
2015,HYBRID,4945,37.54
2015,LPG,10,0.08
2015,PETROL,6949,52.75
2015,UNKNOWN,768,5.83
2016,DIESEL,436,3.76
2016,ELECTRIC,233,2.01
2016,HYBRID,4464,38.47
2016,LPG,8,0.07
2016,PETROL,5938,51.17
2016,UNKNOWN,526,4.53
2017,CNG,1,0.01
2017,DIESEL,486,4.86
2017,ELECTRIC,275,2.75
2017,HYBRID,5002,49.98
2017,LPG,14,0.14
2017,OTHER,1,0.01
2017,PETROL,3749,37.46
2017,UNKNOWN,481,4.81
2018,DIESEL,703,9.05
2018,ELECTRIC,552,7.1
2018,HYBRID,3543,45.59
2018,LPG,7,0.09
2018,OTHER,1,0.01
2018,PETROL,2343,30.15
2018,UNKNOWN,622,8.0
2019,DIESEL,863,10.32
2019,ELECTRIC,463,5.53
2019,HYBRID,4228,50.54
2019,LPG,7,0.08
2019,PETROL,2251,26.91
2019,UNKNOWN,553,6.61
2020,DIESEL,682,6.93
2020,ELECTRIC,402,4.09
2020,HYBRID,5565,56.57
2020,LPG,7,0.07
2020,OTHER,3,0.03
2020,PETROL,2326,23.65
2020,UNKNOWN,852,8.66
2021,DIESEL,364,9.56
2021,ELECTRIC,321,8.43
2021,HYBRID,1775,46.62
2021,LPG,9,0.24
2021,PETROL,742,19.49
2021,UNKNOWN,596,15.66
2022,DIESEL,408,15.24
2022,ELECTRIC,166,6.2
2022,HYBRID,913,34.11
2022,LPG,5,0.19
2022,PETROL,661,24.69
2022,UNKNOWN,524,19.57
2023,CNG,2,0.12
2023,DIESEL,376,21.77
2023,ELECTRIC,136,7.87
2023,HYBRID,437,25.3
2023,LPG,12,0.69
2023,PETROL,482,27.91
2023,UNKNOWN,282,16.33
2024,CNG,1,0.08
2024,DIESEL,386,31.1
2024,ELECTRIC,88,7.09
2024,HYBRID,199,16.04
2024,PETROL,346,27.88
2024,UNKNOWN,221,17.81
2025,CNG,1,0.0
2025,DIESEL,41418,23.21
2025,ELECTRIC,8353,4.68
2025,HYBRID,50937,28.54
2025,LPG,100,0.06
2025,OTHER,10,0.01
2025,PETROL,47780,26.77
2025,UNKNOWN,29884,16.74
2026,DIESEL,10805,22.86
2026,ELECTRIC,4039,8.55
2026,HYBRID,13056,27.62
2026,LPG,16,0.03
2026,OTHER,9,0.02
2026,PETROL,11925,25.23
2026,UNKNOWN,7413,15.68
